Okuldayım. 			I’m at the school
günün sonunda evimdeyim			I’m at home at the end of the day.
O Cumartesi günü Ankara'da.		He is in Ankara on Saturday.
pazar günü tatildeyim			I’m on holiday on Sunday.
doğum günümde onlarlayım		I’m with them on my birthday.
tatilde arkadaşlarımlayım			I’m with my friends on holiday.
Eylül ayında hazırım			I’m ready in September.
İlkbaharda hazırım				I’m ready in the spring.
Yazın buradalarz 				We are here in the summer.
Sonbaharda oradasınız			You are there in the autumn.
Kışın oradayım				I’m there in the winter.
Bir dakika içinde Oradayım			I’m there in a minute.
5 dakika içinde hazırım			I’m ready in five minutes.
5 dakikada oradayım			I’m there in five minutes.
bir saatte buradayım. 			I’m here in an hour.
bir gün içinde Seninleyim			I’m with you in a day.
2 gün içinde ankara'dayız			We are in Ankara in two days.
3 gün içinde Amerika’dasınız 		You are in Amerika in three days.
Dükkandalar 					They are in the shop.
Kafedeler					They are in the cafe.
Restorandayız				We are at the restaurant.
Ofiste değilsin.				You aren’t at the office.
Oradalar 					They are there.
Koltuktayım					I’m in the armchair.
Sandalyedeyim				I’m on the chair.
Masadayım.					I’m at the table.
Bilgisayardayım				I’m on the PC.
Tabaktaki et, lezzetli. 		 	The meat on the plate is delicious.
bardaktaki su soğuk				The water in the glass is cold.
bu tabaktaki yemek iyi 			The food on the plate is good.
çorbadaki sinek çirkin 			The fly in the soup is ugly.
bu şişedeki bira soğuk 	 		The beer in this bottle is cold.
bu kasedeki çorba sıcak 			The soup in this bowl is hot.
çorbam soğuk				My soup is cold.
bardağım dolu 				My glass is full.
senin tabağın boş 				Your plate is empty.
hikayeler hüzünlü 				The stories are sad.
kahvedeki insanlar hüzünlü		The people in the cafe are sad.
çayım iyi					My tea is good.
çayım soğuk					My tea is cold.
portakal suyum kötü				My orange juice is bad.
çorbam sıcak değil				My soup isn’t bad.
kalbim yorgun 				My heart is tired.
aklım meşgul 				My mind is busy.
yüreğim boş 					My heart is empty.
Senin çamaşır makinen eski		Your laundry machine is old.
bulaşık makinesindeki bulaşıklar temiz 	The dishes in the dish washer are clean.
fırındaki yemek muhteşem 		The food in the oven is wonderful.
ocaktaki çorba sıcak 	 		The soup on the stove is hot
buzdolabındaki meyveler taze 		The fruits in the fridge are fresh.
mutfaktaki lamba bozuk 		 	The lamp in the kitchen is broken.
Kahvaltıdaki Peynir lezzetli 	 	The cheese in the breakfast is delicious.
Gemideki insanlar zengin			The people on the ship are rich.
Sandaldaki adam fakir. 		 	The man on the boat is poor.
Köprüdeki insanlar sarhoş. 		The people on the bridge are drunk.
Nehirdeki çocuklar mutlu.			The children in the river are happy.
Denizdeki insanlar üşüyor. 			The people in the sea are cold.

----   

pazar sabahı Buradayım			I’m here on Sunday morning.
cuma öğleden sonra otobüsteyim		I’m on the bus on Friday afternoon.
cumartesi akşamı televizyondayız		We are on TV on Saturday evening.
perşembe öğlen meşgulüm		I’m busy on Thursday noon.
pazar gecesi meşgul değilim		I am not busy on Sunday evening.
çarşamba akşamı hazırım			I’m ready on Wednesday evening.
cuma sabahı yorgunum			I’m tired on Friday morning.
cumartesi gecesi heyecanlıyım 	 	I'm excited on Saturday night.
pazartesi sabahı açım 			I’m hungry on Monday morning.
Toplantıda değiller				They aren’t at the meeting.
Kapıdayım.					I’m at the door.
Kapımdalar.					They are at my door.
Penceremdeki kedi mutlu.			The cat at my window is happy.
Zemindeki renk kötü 			The color on the floor is bad.
Duvardaki resimler eski.			The pictures on the wall are old.
Masadaki bardak boş. 			The glass on the table is empty.
Sandalyedeki çocuk benim.		The child on the chair is mine.
Yataktaki kitap senin.			The book on the bad is yours.
Halıdaki leke kötü.  			The stain on the carpet is bad.
Ormandaki kuşlar özgür. 			The birds in the forest are free.
Ağaçlardaki yapraklar yeşil. 		The leaves on the trees are green.
Pantolonum eski. 				My pants are old.
Şortum yeni. 					My shorts are new.	
Çoraplarım kirli. 				My socks are dirty.
Kotum pahalı.				My jeans are expensive.




Hava Yağmurlu 			 	It’s rainy.
Hava Karlı 	 				It’s snowy.
Güneşli SUNNY				It’s sunny.
Sisli  FOGGY				It’s foggy.
Hava Soğuk					It’s cold.
Hava Sıcak					It’s hot.
Hava Bulutlu 					It’s cloudy
Meşgul 					It’s busy.
Yoğun 					It’s busy.
Yorgun					It’s tired.
Pahalı						It’s expensive.
Rüzgarlı 					It’s windy.
Kirliler. 					They are dirty.
Yorgunlar					They are tired.
hazır değiller					They aren’t ready.
hazırlar.					They are ready.
Yeşil 					It’s green.
kırmızı						It’s red.
sarı						It’s yellow.
Zor 					It’s hard.
Kolay 					It’s easy


	
Onunlayım. E				I’m with him.
Onunlalar K					They are with her.
Onlar bizimle					They are with us.
Biz onlarlayız					We are with them.
Sen bizimlesin.				You are with us.
O E, onunla K				He is with her.
O K, onunla E				She is with him.
Çocuklar benimle.				The children with me.
Annem onlarla.				My mother is with them.
Bu, senin için					This is for you.
Bunlar senin için.				These are for you.
Bunlar senin çocukların için		These are for your children.
Şunlar bizim için.				Those are for us.
Şunlar arkadaşlarımız için.			Those are for our friends.
Seninleyim.					I’m with you.
Onunlayım E					I’m with him.
Onunlayım K				I’m with her.
Onunlayım. C			I’m with it.
Onunlalar K				They are with her.
Onunlayız E				We are with him.
Onlarlayız.				We are with them.
Onlar benimle.			They are with me.
Ben onlarla değilim.			I’m not with them.
Onlar bizimle değil.			They are not with us.
Sen bizden değilsin.			You are not from us
Biz onlardan değiliz.			We are not from them.
Annem onların arkadaşlarıyla.	My mother is with their friends.
Onların arkadaşları benimle.	Their friends are with me.
Onlarınkiler bizimkilerle.		Theirs are with ours.
Bu, senin için.			This is for you.
Şu, benim için.			That is for me.
Onlar bizim için.			They are for us.
Bu para benden.			This money is from me.
Kitabım onlardan.			My book is from them.
Sen, onların okulundansın.		You are from their school.
Okuldan önce seninleyim. 		I’m with you before school.
Senden sonra onunlayım K	I’m with her after you.
Bizimkiler seninle.			Ours are with you.
Arabam bahçenizde.		My car is in your garden.
Araban bahçemizde.		Your car is in our garden
Param senin cebinde.		My money is in your pocket.
Senin paran benim cebimde. 	Your money is in my pocket.
Seninki benim cebimde.  		Yours is in my pocket.
Arkadaşlarımız onlarla.		Our friends are with them.
Senin arkadaşın bizimle.		Your friend is with us.
Senden sonra buradayım.		I’m here after you.
Onlardan önce okuldayım.		I’m at the school before them.
Okulumdan sonra onlarlayım.	I’m with them after my school.
Senin yüzünden buradayım.	I’m here because of you.
Onlar yüzünden okulumdayım.	I’m at my school because of them.
Bizim yüzümüzden mutsuzlar.	They are sad because of us.
Sizin yüzünüzden sinirliyim.	I’m angry because of you.
Onun yüzünden E oradayım.	I’m there because of him.
Bizimkiler burada.			Ours are here.
Onlarınkiler orada.			Theirs are there.
Evdeyim.				I’m at home.
Evdesin.				You are at home.
O evde E				He is at home.
O okulda K				She is at the school.
O bahçede.				It’s in the garden.
Biz buradayız.			We are here.
Siz oradasınız.			You are there.
Onlar benimle.			They are with me.
Çocuklar okulda.			The children are at the school.
Annem seninle.			My mother is with you.
Okuldaki çocuklar mutlu.		The children in the school are happy.
Türkiyedeki insanlar yorgun.		The people in Turkey are tired.
Okulun bahçesi büyük.			The garden of the school is big.
Annemin arkadaşları yaşlı.			The friends of my mother are old.
Masadaki su soğuk.				The water on the table is cold.
Ali bizim için burada.			Ali is here for us.
Arkadaşlarım için Ankaradayım.		I’m in Ankara for my friends.
Okul için trendeler.				They are on the train for the school.
Kedi, salondaki halının üstünde.		The cat is on the carpet in the living room.
Kızgınım.					I’m angry.
Kızgınsın.					You are angry.
Ali aç.						Ali is hungary.
Ayşe Türkiye’den.				Ayşe is from Turkey.
Senin kedin salonda.			Your cat is in the living room.
Arabamız sokağın sonunda.		Our car is at the end of the street.
Ocak ayında İstanbul’dasınız.		You are in İstanbul in January.
Okuldan sonra evdeyim.			I’m at home after the school.
Bu araba, senin için.			This car is for you.
Benim ülkem güçlü. 			My country is strong.
Baban Salı günü ofiste.			Your father is at the office on Tuesday.
Televizyondaki insanlar zengin.		The people on TV are rich.
Denizdeki insanlar mutlu.			The people in the sea are happy.
Ben Cuma akşamı senin için hazırım.	I’m ready for you on Friday evening.
Bizim şehrimiz güzel.			Our city is good.
Yazın Ağustos ayında ailemle beraber Antalyadayım.	I’m in Antalya with my family in August in the summer.
Haftasonu kızkardeşimle beraber restorandayız.	We are at the restaurant with my sister on the weekend.
Evdeki köpek, bir kediyle beraber mutfakta.		The dog in the house is with a cat in the kitchen.
Kalbimdeki kadın, benimle.					The woman in my heart is with me.
Ofisten arkadaşlarım bir parti için işten sonra bir restoranda.		My friends from the office are at a restaurant after work for a party. 
Babamın ailesi, Bayram için köyde.		The family of my father is in the village for Bayram.
Arkadaşımın gözlükleri burada.			The glasses of my friend are here.
İyiyim. 				I’m fine.
Meşguller.				They are busy.
Bugün meşgulüm.			I’m busy today.
Bahçedeki elmalar kırmızı.		The apples in the garden are red.
