Bana 				to me 
Onunkinden evvel K			before hers
Bizimkinden önce			before ours
Sizinkilerden sonra			after yours
Onlarınkilerden önce		before theirs
Benim hakkımda			about me
Senin hakkında			about you
Onun hakkında E			about him
Onun hakkında K			about her
Hakkımızda				about us
Hakkınızda				about you
Onların hakkında			about them
Arabam hakkında			about my car
Senin sorunların hakkında		about your problems
Onun çocukları hakkında E	about his children
Onun ailesi hakkında K		about her family
Ailemiz hakkında			about our family
Sizin tatiliniz hakkında		about your holiday
Onların geleceği hakkında		about their future
Benimki hakkında			about mine
Onlarınki hakkında			about theirs
Bizimki hakkında			about ours
Benim yüzümden			because of me
Senin yüzünden			because of you
Onun yüzünden E			because of him
Onun yüzünden K			because of her
Bizim yüzümüzden			because of us
Sizin yüzünüzden			because of you
Onlar yüzünden			because of them
Okulum yüzünden			because of my school
Arkadaşların yüzünden		because of your friends
Onun dayısı yüzünden E		because of his uncle
Onun dedesi yüzünden K		because of her grandfather
Geçmişimiz yüzünden		because of our past
Sizin kitaplarınız yüzünden		because of your books
Onların aileleri yüzünden		because of their families
Benimkiler yüzünden    		because of mine

Benimki mutlu.			mine is happy
Benimkiler mutlu.  			mine are happy
Benimki çok sinirli.			mine is very angry
Benimkiler çok sinirli.		mine are very angry
Bizimki yorgun. 			ours is tired
Benimkiler mutlu. 			mine are happy

Sizinkiler yüzünden			because of yours
Onunkiler yüzünden E		because of his
Onlarınkiler yüzünden		because of theirs
İçimde					in me
Senin üstünde			on you
Onun yanında E			at him
Onun üstünde K			on her
İçimizde			in us
Sizin içinizde			in you
Onların içinde		in them
Onların üstünde		on them
Onların yanında		at them
Benimkinin içinde		in mine
Seninkinin içinde		in yours
Onunkinin üstünde E	on his
Onunkinin yanında K	at hers
Bizimkilerin içinde		in ours
Sizinkilerin yanında		at yours
Onlarınkilerin içinde		in theirs


Seninleyim.			I am with you.
Onunlayım. E		I am with him.
Onunlalar K.			They are with her.
Onlar bizimle			They are with us.
Biz onlarlayız			We are with them.
Sen bizimlesin.		You are with us.
O E, onunla K		He is with her.
O K, onunla E		She is with him.
Çocuklar benimle.		The children are with me.
Annem onlarla.		My mother is with them.
Bu, senin için			This is for you.
Bunlar senin için.		These are for you.
Bunlar, senin çocukların için	These are for your children.
Şunlar, bizim için.			Those are for us.
Şunlar, arkadaşlarımız için.	Those are for our friends.
Seninleyim.				I am with you.
Onunlayım E			I am with him.
Onunlayım K			I am with her.
Onunlayım.C			I am with it.
Onlar Onunla. K  			They are with her.
Onunlayız E			We are with him.
Onlarlayız.				We are with them.
Onlar benimle.			They are with me.
Ben onlarla değilim.			I am not with them.
Onlar bizimle değil. 			They are not with us.
Sen bizden değilsin.			You aren't from us.
Biz onlardan değiliz.			We aren’t from them.
Annem onların arkadaşlarıyla.	My mother is with their friends.
Onların arkadaşları benimle. 	Their friends are with me.
Onlarınkiler bizimkilerle.		Theirs are with ours.
Bu, senin için.			This is for you.
Şu, benim için.			That is for me.
Onlar bizim için.			They are for us.
Onlar, biz olmadan ders çalışıyorlar.	They study without us.
Biz, Onlar olmadan yüzüyoruz. 		We swim without them.
Sen biz olmadan tatile gidiyorsun.		You go to the holiday without us.
Bu para, benden.				This money is from me.
Kitabım onlardan.				My book is from them.
Sen, onların okulundansın.			You are from their school.
Bizimkiler gidiyor.				Ours go.
Sizinkiler yemek yiyor.   			Yours eat.
Okuldan önce seninleyim.			I am with you before school.
Senden sonra onunlayım K		I am with her after you.
Bizimkiler seninle.				Ours are with you.
Arabam bahçenizde.			My car is in your garden.
Araban bahçemizde.			Your car is in our garden.
Param senin cebinde.			My money is in your pocket.
Senin paran benim cebimde.		Your money is in my pocket.
Seninki benim cebimde.			Yours is in my pocket.
Arkadaşlarımız onlarla.			Our friends are with them.
Senin arkadaşın bizimle.			Your friend is with us.
Senden sonra buradayım.			I am here after you.
Onlardan önce okuldayım.			I am at the school before them.
Okulumdan sonra onlarlayım.		I am with them after my school.	
Senin yüzünden buradayım. 		I am here because of you.
Onlar yüzünden okulumdayım.		I am at my school because of them.
Bizim yüzümüzden mutsuzlar.		They are unhappy because of us.
Sizin yüzünüzden sinirliyim.		I am angry because of you.
Onun yüzünden E oradayım. 		I am there because of him.
Bizim hakkımızda konuşuyorlar.		They talk about us.
Sizin hakkınızda konuşuyoruz.		We talk about you.
Benimkiler hakkında konuşuyorsun.	You talk about mine.
Okulum hakkında konuşuyorlar.		They talk about my school.
Geleceğimiz hakkında konuşmak istiyoruz. 	We want to talk about our future.
Geleceğim hakkında konuşmak istiyorum.	I want to talk about my future.
Senin geleceğin hakkında konuşuyorlar.		They talk about your future.
Bizimkiler burada. 					Ours are here.
Onlarınkiler orada.					Theirs are there.
Evimizin çiçekleri, bahçede.			The flowers of our house are in the garden.
Annemin arkadaşları bizimle.			The friends of my mother are with us.
Arkadaşımın köpeği burada değil.			The dog of my friend isn’t here.
